"CloudletID","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"40","SUCCESS","0","32768","0","0.0","1800","2","83.00867924528302","90.11867924528302","7.109999999999999"
"41","SUCCESS","1","32768","0","0.0","16800","2","83.00867924528302","2784.3701562499896","2701.3614770047066"
"42","SUCCESS","2","32768","0","0.0","19000","2","83.00867924528302","181.76000000000022","98.7513207547172"
"43","SUCCESS","3","32768","0","0.0","9200","2","83.00867924528302","464.38015625001174","381.3714770047287"
"44","SUCCESS","4","32768","0","0.0","9200","2","83.00867924528302","116.66250000000001","33.65382075471699"
"45","SUCCESS","5","32768","0","0.0","8000","2","83.00867924528302","163.24647058823578","80.23779134295276"
"46","SUCCESS","6","32768","0","0.0","12800","2","83.00867924528302","122.95472527472526","39.94604602944224"
"47","SUCCESS","7","32768","0","0.0","13600","2","83.00867924528302","118.97044943820225","35.96177019291923"
"48","SUCCESS","8","32768","0","0.0","19600","2","83.00867924528302","322.6301562500024","239.6214770047194"
"49","SUCCESS","9","32768","0","0.0","1600","2","83.00867924528302","105.695","22.686320754716974"
"50","SUCCESS","0","32768","0","0.0","18000","2","83.00867924528302","119.30044943820225","36.29177019291923"
"51","SUCCESS","1","32768","0","0.0","17400","2","83.00867924528302","171.90924501424524","88.90056576896222"
"52","SUCCESS","2","32768","0","0.0","16600","2","83.00867924528302","165.71000000000015","82.70132075471713"
"53","SUCCESS","3","32768","0","0.0","1800","2","83.00867924528302","90.60867924528301","7.599999999999994"
"54","SUCCESS","4","32768","0","0.0","3800","2","83.00867924528302","109.02783783783784","26.019158592554817"
"55","SUCCESS","5","32768","0","0.0","1000","2","83.00867924528302","87.1399436130991","4.131264367816087"
"56","SUCCESS","6","32768","0","0.0","10400","2","83.00867924528302","104.09197674418604","21.083297498903022"
"57","SUCCESS","7","32768","0","0.0","5600","2","83.00867924528302","107.98249999999999","24.973820754716968"
"58","SUCCESS","8","32768","0","0.0","2400","2","83.00867924528302","88.11833333333334","5.10965408805032"
"59","SUCCESS","9","32768","0","0.0","3800","2","83.00867924528302","92.61","9.60132075471698"
